status,ipAddress,host,request,userAgent,countryCode,sizeBytes,durationSecs,timestamp
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,14.37,2026-09-18T10:56:25.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,8.853,2026-09-18T10:52:56.000000Z
503,192.175.111.232,www.operations.octagramai.com,"GET / HTTP/1.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",CA,807,311.123,2026-09-18T09:49:55.000000Z
301,192.175.111.234,www.operations.octagramai.com,"GET / HTTP/1.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",CA,795,4.988,2026-09-18T09:49:48.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,4.213,2026-09-18T09:44:08.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,9.566,2026-09-18T09:35:31.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,5.522,2026-09-18T09:33:31.000000Z
200,104.155.188.241,operations.octagramai.com,"GET / HTTP/1.1","Mozilla/5.0 (compatible; CMS-Checker/1.0; +https://example.com)",US,772,24.737,2026-09-18T09:33:21.000000Z
301,104.155.188.241,operations.octagramai.com,"GET / HTTP/1.1","Mozilla/5.0 (compatible; CMS-Checker/1.0; +https://example.com)",US,795,0.131,2026-09-18T09:33:18.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,8.835,2026-09-18T09:32:46.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,4.393,2026-09-18T09:31:59.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,23.054,2026-09-18T09:31:05.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,6.62,2026-09-18T09:30:27.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,3.983,2026-09-18T09:29:57.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,4.6,2026-09-18T09:29:26.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,5.341,2026-09-18T09:28:55.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,8.593,2026-09-18T09:28:25.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,3.709,2026-09-18T09:27:55.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,9.793,2026-09-18T09:23:24.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,5.552,2026-09-18T09:22:54.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,16.134,2026-09-18T09:22:24.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,4.196,2026-09-18T09:21:54.000000Z
